Species,ThermalAffinity,BodySize,DepthRange,PLD,Diet,Aggregation,Position,ParentalMode,JPN_sp,AUS_sp,RMI_sp
Parapercis millepunctata,tropical,18,47,41.6,Predator,solitary,Benthic,scatterers,0,1,0
Parapercis multiplicata,tropical,15,36,41.6,Predator,solitary,Benthic,scatterers,1,0,0
Parapercis pulchella,tropical,20,49,41.6,Predator,solitary,Benthic,scatterers,1,0,0
Parapercis ramsayi,subtropical,20,75,41.6,Predator,solitary,Benthic,scatterers,0,1,0
Parapercis snyderi,subtropical,11,30,41.6,Predator,solitary,Benthic,scatterers,1,0,0
Parapercis stricticeps,subtropical,18,20,41.6,Predator,solitary,Benthic,scatterers,0,1,0
Parapercis tetracantha,tropical,26,13,41.6,Predator,solitary,Benthic,scatterers,1,0,0
Paraplesiops poweri,subtropical,8.3,10,61,Predator,solitary,Benthic,Nesters,0,1,0
Parapriacanthus ransonneti,tropical,10,550,32.8,Planktivore,schools,SubBenthic,scatterers,0,1,0
Parapristipoma trilineatum,subtropical,40,40,40,Planktivore,schools,UpperBenthic,scatterers,1,0,0
Parma microlepis,temperate,14,28,21,Herbivore,solitary,Benthic,Nesters,0,1,0
Parma oligolepis,tropical,16.5,18,21,Herbivore,solitary,Benthic,Nesters,0,1,0
Parma polylepis,temperate,21,39,21,Herbivore,solitary,Benthic,Nesters,0,1,0
Parma unifasciata,temperate,18,29,21,Herbivore,solitary,Benthic,Nesters,0,1,0
Parupeneus barberinoides,tropical,30,99,42.3,Predator,solitary,Benthic,scatterers,0,0,1
Parupeneus barberinus,tropical,60,99,38.6,Predator,solitary,Benthic,scatterers,1,0,1
Parupeneus biaculeatus,subtropical,24,9,50,Predator,groups,Benthic,scatterers,1,0,0
Parupeneus ciliatus,tropical,38,89,50,Predator,solitary,Benthic,scatterers,1,1,0
Parupeneus crassilabris,tropical,38,79,38.6,NA,solitary,Benthic,scatterers,1,0,0
Parupeneus cyclostomus,tropical,50,123,38.6,Predator,pairs,Benthic,scatterers,1,1,1
Parupeneus indicus,tropical,45,20,33,Predator,pairs,Benthic,NA,1,0,0
Parupeneus insularis,tropical,30,79,38.6,Predator,solitary,Benthic,scatterers,0,0,1
Parupeneus multifasciatus,tropical,35,158,45,Predator,solitary,Benthic,scatterers,1,1,1
Parupeneus pleurostigma,tropical,33,119,50,Predator,solitary,Benthic,scatterers,0,1,1
Parupeneus spilurus,subtropical,50,50,50,Predator,groups,UpperBenthic,scatterers,1,1,0
Pempheris adusta,subtropical,17,20,32.8,Planktivore,schools,SubBenthic,scatterers,1,0,0
Pempheris affinis,temperate,15,23,32.8,Planktivore,schools,SubBenthic,scatterers,0,1,0
Pempheris compressa,temperate,20,23,32.8,Planktivore,schools,SubBenthic,scatterers,0,1,0
Pempheris schwenkii,tropical,15,35,32.8,Planktivore,schools,Benthic,scatterers,1,0,0
Pempheris ypsilychnus,tropical,12,23,32.8,Planktivore,schools,Benthic,scatterers,0,1,0
Pentapodus emeryii,tropical,35,22,19,Predator,solitary,UpperBenthic,scatterers,0,1,1
Pentapodus paradiseus,tropical,30,60,19,Predator,solitary,UpperBenthic,scatterers,0,1,0
Pervagor alternans,tropical,16,15,28,Omnivore,pairs,Benthic,scatterers,0,1,1
Pervagor janthinosoma,tropical,13,12,28,Omnivore,pairs,Benthic,scatterers,1,1,0
Pervagor melanocephalus,tropical,16,20,28,Omnivore,pairs,Benthic,scatterers,1,0,0
Petroscirtes breviceps,tropical,11,14,24,Omnivore,solitary,Demersal,demersal,1,0,0
Petroscirtes fallax,subtropical,9.5,NA,21,Detritivore,solitary,Demersal,Nesters,0,1,0
Petroscirtes mitratus,tropical,8.5,4,24.5,Herbivore,solitary,Demersal,demersal,0,0,1
Pictilabrus laticlavius,temperate,23,38,46.2,Predator,solitary,AlgaeAssociated,scatterers,0,1,0
Plagiotremus laudandus,tropical,8,29,24,Predator,solitary,UpperBenthic,demersal,0,0,1
Plagiotremus rhinorhynchos,tropical,12,39,24,Predator,solitary,Benthic,Nesters,1,1,0
Plagiotremus tapeinosoma,tropical,14,29,24,Predator,solitary,UpperBenthic,Nesters,1,1,1
Platax batavianus,tropical,65,35,25,Omnivore,solitary,UpperBenthic,scatterers,0,1,0
Platax orbicularis,tropical,60,25,25,Omnivore,groups,UpperBenthic,NA,1,1,0
Platax teira,tropical,70,22,25,Predator,groups,UpperBenthic,scatterers,0,1,0
Platycephalus fuscus,subtropical,120,30,50,Predator,solitary,Demersal,scatterers,0,1,0
Plectorhinchus chaetodonoides,tropical,72,29,21,Predator,solitary,Benthic,scatterers,0,0,1
Plectorhinchus diagrammus,tropical,40,14,21,Predator,solitary,Benthic,scatterers,1,0,0
Plectorhinchus flavomaculatus,tropical,60,23,21,Predator,groups,Benthic,scatterers,1,1,0
Plectorhinchus gibbosus,tropical,75,17,20,Predator,groups,Benthic,scatterers,0,1,0
Plectorhinchus lessonii,tropical,40,34,21,Predator,solitary,Benthic,scatterers,1,0,0
Plectorhinchus picus,tropical,84,47,21,Predator,solitary,Benthic,scatterers,1,0,0
Plectorhinchus vittatus,tropical,72,23,21,Predator,solitary,Benthic,scatterers,1,0,0
Plectroglyphidodon dickii,tropical,11,14,26.6,Corrallivore,solitary,CoralAssociated,Nesters,1,1,1
Plectroglyphidodon imparipennis,tropical,9,6,29.7,Omnivore,solitary,Benthic,Nesters,0,0,1
Plectroglyphidodon johnstonianus,tropical,14,17,31.7,Corrallivore,solitary,CoralAssociated,Nesters,1,1,1
Plectroglyphidodon lacrymatus,tropical,10,39,22.35,Herbivore,solitary,Benthic,Nesters,1,1,1
Plectroglyphidodon leucozonus,tropical,12,6,29.7,Herbivore,solitary,Benthic,Nesters,0,1,0
Plectropomus areolatus,tropical,73,19,25.2,Predator,solitary,Benthic,scatterers,0,1,1
Plectropomus laevis,tropical,125,96,25.2,Predator,solitary,Benthic,scatterers,0,0,1
Plectropomus leopardus,tropical,120,97,25.2,Predator,solitary,UpperBenthic,scatterers,1,1,1
Plectropomus maculatus,tropical,100,95,27,Predator,solitary,UpperBenthic,scatterers,0,1,0
Plectropomus oligacanthus,tropical,75,142,25.2,Predator,pairs,UpperBenthic,scatterers,0,0,1
Plotosus japonicus,temperate,18.3,59,NA,Predator,schools,Benthic,demersal,1,0,0
Pomacanthus imperator,tropical,40,99,22,Omnivore,pairs,Benthic,scatterers,1,1,1
Pomacanthus semicirculatus,tropical,40,39,19.5,Omnivore,pairs,UpperBenthic,scatterers,1,1,0
Pomacanthus sexstriatus,tropical,46,57,18,Predator,pairs,UpperBenthic,scatterers,1,0,0
Pomacentrus alexanderae,tropical,9,55,NA,Omnivore,solitary,NA,Nesters,1,0,0
Pomacentrus amboinensis,tropical,9,38,19.5,Planktivore,solitary,Benthic,Nesters,1,1,1
Pomacentrus australis,tropical,8,30,25,Planktivore,solitary,Benthic,Nesters,0,1,0
Pomacentrus bankanensis,tropical,9,12,18.4,Herbivore,solitary,Benthic,Nesters,1,1,0
Pomacentrus brachialis,tropical,8,34,18,Planktivore,solitary,UpperBenthic,Nesters,1,1,1
Pomacentrus burroughi,tropical,8.5,14,16.8,Omnivore,solitary,CoralAssociated,Nesters,0,1,0
Pomacentrus chrysurus,tropical,9,3,17,Omnivore,solitary,Benthic,Nesters,0,1,0
Pomacentrus coelestis,tropical,9,19,19.1,Omnivore,groups,Benthic,Nesters,1,1,1
Pomacentrus imitator,tropical,11,23,22.35,Planktivore,solitary,UpperBenthic,Nesters,0,1,0
Pomacentrus lepidogenys,tropical,9,11,20,Planktivore,groups,UpperBenthic,Nesters,1,1,0
Pomacentrus moluccensis,tropical,9,13,19.17,Planktivore,solitary,Benthic,Nesters,1,1,0
Pomacentrus nagasakiensis,tropical,11,32,22.35,Planktivore,solitary,Benthic,Nesters,1,0,0
Pomacentrus nigromanus,tropical,9,54,21.66,Planktivore,solitary,Benthic,Nesters,0,1,0
Pomacentrus pavo,tropical,8.5,17,26.24,Planktivore,groups,UpperBenthic,Nesters,1,1,1
Pomacentrus philippinus,tropical,10,11,16,Omnivore,solitary,UpperBenthic,Nesters,1,0,0
Pomacentrus vaiuli,tropical,10,44,21.5,Omnivore,solitary,Benthic,Nesters,1,1,1
Pomacentrus wardi,tropical,8,19,21.66,Herbivore,solitary,Benthic,Nesters,0,1,0
Pomacentrus yoshii,tropical,10,20,16,Omnivore,groups,UpperBenthic,Nesters,0,0,1
Pomachromis exilis,tropical,5,9,21.7,Planktivore,groups,UpperBenthic,Nesters,0,0,1
Pomachromis richardsoni,tropical,6,20,21.7,Planktivore,groups,UpperBenthic,Nesters,1,0,0
Priacanthus hamrur,tropical,45,242,32.8,Predator,groups,Benthic,scatterers,1,1,0
Priacanthus macracanthus,subtropical,30,388,32.8,Predator,groups,Benthic,scatterers,0,1,0
Prionurus maculatus,subtropical,45,15,59.65,Herbivore,schools,UpperBenthic,scatterers,0,1,0
Prionurus microlepidotus,subtropical,70,20,59.65,Omnivore,schools,UpperBenthic,scatterers,0,1,0
Prionurus scalprum,subtropical,50,NA,59.65,Herbivore,groups,Benthic,scatterers,1,0,0
Pristiapogon exostigma,tropical,12,37,33.5,Predator,solitary,Benthic,brooders,0,0,1
Pristiapogon fraenatus,tropical,10,47,25.3,Predator,solitary,Benthic,brooders,0,0,1
Pristiapogon kallopterus,tropical,15.5,155,25.3,Predator,solitary,CoralAssociated,brooders,0,0,1
Pseudanthias cooperi,tropical,14,81,26,Planktivore,schools,UpperBenthic,scatterers,0,1,0
Pseudanthias dispar,tropical,9.5,17,26,Planktivore,schools,UpperBenthic,scatterers,0,0,1
Pseudanthias fasciatus,tropical,21,130,26,Planktivore,schools,UpperBenthic,scatterers,0,1,0
Pseudanthias hypselosoma,tropical,19,44,26,Planktivore,schools,UpperBenthic,scatterers,1,1,0
Pseudanthias pascalus,tropical,20,55,26,Planktivore,schools,UpperBenthic,scatterers,1,0,1
Pseudanthias pictilis,subtropical,13.5,28,26,Planktivore,schools,UpperBenthic,scatterers,0,1,0
Pseudanthias squamipinnis,tropical,15,55,26,Planktivore,schools,UpperBenthic,scatterers,1,1,0
Pseudobalistes flavimarginatus,tropical,60,48,44.5,Predator,solitary,UpperBenthic,Nesters,0,0,1
Pseudobalistes fuscus,tropical,55,20,44.5,Omnivore,solitary,UpperBenthic,Nesters,0,1,1
Pseudoblennius cottoides,temperate,13,13,32,Predator,solitary,Benthic,Nesters,1,0,0
Pseudoblennius marmoratus,temperate,11,13,32,Predator,solitary,Benthic,Nesters,1,0,0
Pseudoblennius zonostigma,temperate,12,12,32,Predator,solitary,Benthic,Nesters,1,0,0
Pseudocaranx dentex,subtropical,122,228,50,Predator,groups,Pelagic,scatterers,0,1,0
Pseudocheilinus evanidus,tropical,9,55,42.5,Predator,solitary,Benthic,scatterers,1,0,1
Pseudocheilinus hexataenia,tropical,10,34,36,Predator,solitary,CoralAssociated,scatterers,1,1,1
Pseudocheilinus ocellatus,tropical,10.3,38,44.2,Predator,solitary,SubBenthic,scatterers,0,0,1
Pseudocheilinus octotaenia,tropical,14,48,44.2,Predator,solitary,CoralAssociated,scatterers,1,0,1
Pseudocheilinus tetrataenia,tropical,7.5,38,49.3,Predator,solitary,CoralAssociated,scatterers,0,0,1
Pseudochromis fuscus,tropical,10,28,61,Predator,solitary,Benthic,scatterers,0,1,0
Pseudochromis marshallensis,tropical,8,30,61,Predator,solitary,Benthic,scatterers,1,0,1
Pseudocoris yamashiroi,tropical,16,25,42.4,Planktivore,schools,UpperBenthic,scatterers,1,0,1
Pseudodax moluccanus,tropical,30,57,42.4,Omnivore,solitary,UpperBenthic,scatterers,0,0,1
Pseudojuloides cerasinus,tropical,14,59,42.4,Predator,solitary,UpperBenthic,scatterers,0,1,0
Pseudojuloides elongatus,temperate,14,10,42.4,Predator,solitary,UpperBenthic,scatterers,0,1,0
Pseudolabrus eoethinus,temperate,20,10,22,Predator,groups,UpperBenthic,scatterers,1,0,0
Pseudolabrus guentheri,subtropical,18,20,22.5,Predator,solitary,UpperBenthic,scatterers,0,1,0
Pseudolabrus luculentus,temperate,17,40,22.5,Predator,solitary,UpperBenthic,scatterers,0,1,0
Pseudolabrus sieboldi,temperate,25,98,22,Predator,groups,UpperBenthic,scatterers,1,0,0
Pteragogus aurigarius,subtropical,17,10.5,21.3,Predator,solitary,Benthic,scatterers,1,0,0
Pteragogus cryptus,tropical,9.5,65,20.6,Predator,solitary,Benthic,scatterers,0,0,1
Pteragogus enneacanthus,tropical,15,22,20.6,Omnivore,solitary,Benthic,scatterers,0,1,0
Ptereleotris evides,tropical,14,13,22.5,Planktivore,schools,UpperBenthic,scatterers,1,1,1
Ptereleotris hanae,tropical,12,47,22.5,Planktivore,pairs,SandAssociated,scatterers,1,0,0
Ptereleotris heteroptera,tropical,14,41,22.5,Planktivore,pairs,SandAssociated,scatterers,0,0,1
Ptereleotris microlepis,tropical,13,49,22.5,Planktivore,schools,SandAssociated,scatterers,0,1,1
Pterocaesio chrysozona,tropical,21,23,42,Planktivore,schools,ReefPelagic,scatterers,0,1,0
Pterocaesio digramma,tropical,30,50,42,Planktivore,schools,ReefPelagic,scatterers,0,1,0
Pterocaesio tile,tropical,30,59,22,Planktivore,schools,ReefPelagic,scatterers,0,1,1
Pterocaesio trilineata,tropical,20,29,42,Planktivore,schools,ReefPelagic,scatterers,0,0,1
Pterogobius elapoides,temperate,8.3,25,NA,Predator,solitary,ReefPelagic,Nesters,1,0,0
Pterogobius virgo,temperate,25,12,NA,Predator,solitary,Benthic,Nesters,1,0,0
Pterogobius zacalles,temperate,16.2,10,NA,Predator,solitary,Benthic,Nesters,1,0,0
Pterogobius zonoleucus,temperate,6.7,25,NA,Predator,solitary,Benthic,Nesters,1,0,0
Pterois volitans,tropical,38,53,32.5,Predator,solitary,Benthic,scatterers,1,1,0
Pygoplites diacanthus,tropical,26,80,24.5,Omnivore,pairs,SubBenthic,NA,1,0,1
Rachycentron canadum,subtropical,200,1200,27,Predator,solitary,Pelagic,scatterers,0,1,0
Rastrelliger kanagurta,tropical,35,70,20,Planktivore,schools,Pelagic,scatterers,0,1,0
Remora remora,subtropical,86,200,448,Predator,solitary,Pelagic,scatterers,0,1,0
Rhabdosargus sarba,tropical,80,57,25,Predator,groups,ReefPelagic,scatterers,0,1,0
Rhinecanthus aculeatus,tropical,30,5,45,Predator,solitary,Benthic,Nesters,0,0,1
Rhinecanthus lunula,subtropical,28,40,45,Predator,solitary,Benthic,Nesters,0,1,0
Rhinecanthus rectangulus,tropical,30,5,43.5,Omnivore,solitary,Benthic,Nesters,0,0,1
Sargocentron caudimaculatum,tropical,25,23,40.3,Predator,solitary,Benthic,scatterers,1,1,1
Sargocentron diadema,tropical,17,59,35.9,Predator,groups,Benthic,scatterers,1,1,1
Sargocentron rubrum,tropical,32,83,40.3,Predator,solitary,Benthic,scatterers,1,0,0
Sargocentron sp.,tropical,25,59,35.9,Predator,solitary,Benthic,scatterers,0,1,0
Sargocentron spiniferum,tropical,51,121,39.8,Predator,solitary,Benthic,scatterers,0,0,1
Sargocentron tiere,tropical,33,182,40.3,Predator,solitary,Benthic,scatterers,0,0,1
Saurida gracilis,tropical,32,135,42,Predator,solitary,Benthic,scatterers,1,0,0
Scarus altipinnis,tropical,60,49,33.8,Herbivore,groups,UpperBenthic,scatterers,0,0,1
Scarus chameleon,tropical,31,27,29,Herbivore,schools,UpperBenthic,scatterers,1,1,1
Scarus dimidiatus,tropical,40,24,29,Herbivore,solitary,UpperBenthic,scatterers,0,0,1
Scarus festivus,tropical,45,27,29,Herbivore,solitary,UpperBenthic,scatterers,1,1,1
Scarus flavipectoralis,tropical,40,38,29,Herbivore,solitary,UpperBenthic,scatterers,0,1,1
Scarus forsteni,tropical,55,27,29,Herbivore,solitary,UpperBenthic,scatterers,1,1,1
Scarus frenatus,tropical,47,24,29,Herbivore,solitary,UpperBenthic,scatterers,1,1,1
Scarus fuscocaudalis,tropical,25,25,28.2,Herbivore,solitary,UpperBenthic,scatterers,1,1,1
Scarus ghobban,tropical,90,34,29.7,Herbivore,solitary,UpperBenthic,scatterers,1,1,1
Scarus globiceps,tropical,45,29,29,Herbivore,groups,UpperBenthic,scatterers,0,0,1
Scarus hypselopterus,tropical,31,20,29,Herbivore,solitary,UpperBenthic,scatterers,1,0,0
Scarus niger,tropical,40,20,30.4,Herbivore,solitary,UpperBenthic,scatterers,1,1,1
Scarus oviceps,tropical,35,19,29,Herbivore,solitary,UpperBenthic,scatterers,1,0,1
Scarus ovifrons,subtropical,78,17,29,Herbivore,groups,UpperBenthic,scatterers,1,0,0
Scarus prasiognathos,tropical,70,24,29,Herbivore,groups,UpperBenthic,scatterers,1,0,0
Scarus psittacus,tropical,30,23,29,Herbivore,solitary,UpperBenthic,scatterers,1,1,1
Scarus rivulatus,tropical,40,19,37,Herbivore,schools,UpperBenthic,scatterers,1,0,1
Scarus rubroviolaceus,tropical,70,35,37,Herbivore,solitary,UpperBenthic,scatterers,1,1,1
Scarus schlegeli,tropical,40,49,30.4,Herbivore,solitary,UpperBenthic,scatterers,1,0,1
Scarus sp.,tropical,30,29,30.4,Herbivore,solitary,UpperBenthic,scatterers,1,1,1
Scarus spinus,tropical,30,23,29,Herbivore,solitary,UpperBenthic,scatterers,1,0,1
Schuettea scalaripinnis,subtropical,20,20,46,Planktivore,schools,UpperBenthic,scatterers,0,1,0
Scolopsis affinis,tropical,24,57,19,Predator,solitary,UpperBenthic,scatterers,0,1,0
Scolopsis bilineata,tropical,25,24,25,Predator,solitary,UpperBenthic,scatterers,1,1,0
Scolopsis ciliata,tropical,25,23,25,Predator,groups,UpperBenthic,scatterers,1,0,0
Scolopsis lineata,tropical,25,19,25,Predator,groups,UpperBenthic,scatterers,0,0,1
Scolopsis margaritifera,tropical,28,23,25,Predator,solitary,UpperBenthic,scatterers,0,1,0
Scolopsis monogramma,tropical,38,48,25,Predator,solitary,UpperBenthic,scatterers,0,1,0
Scomberoides lysan,tropical,110,100,57.6,Predator,schools,Pelagic,scatterers,0,1,0
Scorpaena cardinalis,temperate,18,152,22,Predator,solitary,Benthic,demersal,0,1,0
Scorpaenodes evides,subtropical,10.5,39,32.4,Piscivore,solitary,Benthic,demersal,1,0,0
Scorpis lineolata,temperate,30,29,35,Planktivore,schools,ReefPelagic,scatterers,0,1,0
Sebastapistes cyanostigma,tropical,10,28,32.4,Predator,solitary,CoralAssociated,scatterers,1,0,0
Sebastes inermis,subtropical,35,28,87,Predator,groups,Benthic,Live bearers,1,0,0
Sebastes joyneri,temperate,30,28,120,Predator,groups,Benthic,Live bearers,1,0,0
Sebastiscus marmoratus,subtropical,30,20,80,Predator,solitary,Benthic,Live bearers,1,0,0
Selar boops,subtropical,25,465,50,Planktivore,schools,Pelagic,scatterers,0,1,0
Selaroides leptolepis,subtropical,22,49,50,Predator,schools,Pelagic,scatterers,0,1,0
Seriola dumerili,subtropical,190,359,57.6,Predator,schools,Pelagic,scatterers,0,1,0
Seriola lalandi,subtropical,250,822,57.6,Predator,schools,Pelagic,scatterers,0,1,0
Siganus argenteus,tropical,40,40,27.5,Herbivore,schools,UpperBenthic,scatterers,1,1,1
Siganus corallinus,tropical,34,27,23,Herbivore,pairs,CoralAssociated,scatterers,1,0,0
Siganus fuscescens,subtropical,40,50,19.2,Herbivore,schools,UpperBenthic,scatterers,1,1,0
Siganus punctatus,tropical,40,39,23.5,Herbivore,pairs,UpperBenthic,scatterers,1,0,1
Siganus spinus,tropical,28,49,22,Herbivore,pairs,UpperBenthic,scatterers,0,1,1
Siganus unimaculatus,tropical,20,29,23.5,Omnivore,pairs,UpperBenthic,scatterers,1,0,0
Siganus vermiculatus,tropical,45,20,23,Herbivore,schools,UpperBenthic,demersal,0,0,1
Siganus virgatus,tropical,30,19,23.9,Omnivore,pairs,UpperBenthic,scatterers,1,0,0
Siganus vulpinus,tropical,25,28,23.5,Herbivore,pairs,CoralAssociated,scatterers,0,0,1
Siphamia cephalotes,temperate,5,7,20,Planktivore,schools,Benthic,brooders,0,1,0
Siphamia tubifer,tropical,5,100,41.3,Predator,groups,EchinodermAssociated,brooders,0,0,1
Sphyraena flavicauda,tropical,60,23,22,Predator,schools,ReefPelagic,scatterers,0,1,0
Sphyraena qenie,tropical,170,99,22,Predator,schools,ReefPelagic,scatterers,0,1,0
Stegastes altus,subtropical,15,15,29.7,Herbivore,solitary,Benthic,Nesters,1,0,0
Stegastes apicalis,subtropical,15,4,29.7,Herbivore,solitary,Benthic,Nesters,0,1,0
Stegastes fasciolatus,tropical,16.5,29,29.95,Herbivore,solitary,Benthic,Nesters,1,1,1
Stegastes gascoynei,subtropical,15,29,29.7,Herbivore,solitary,Benthic,Nesters,0,1,0
Stegastes lividus,tropical,15,5,25,Herbivore,solitary,Benthic,Nesters,0,0,1
Stegastes nigricans,tropical,14,11,31.68,Herbivore,groups,Benthic,Nesters,0,0,1
Stegostoma fasciatum,tropical,354,63,0,Apex,solitary,UpperBenthic,Live bearers,0,1,0
Stephanolepis cirrhifer,temperate,30,10,50,Omnivore,solitary,Benthic,demersal,1,0,0
Stethojulis bandanensis,tropical,15,27,27,Predator,solitary,UpperBenthic,scatterers,1,1,1
Stethojulis interrupta,tropical,13,18,42.1,Predator,solitary,UpperBenthic,scatterers,0,1,1
Stethojulis strigiventer,tropical,15,13,23.4,Predator,solitary,UpperBenthic,scatterers,0,1,1
Stethojulis terina,temperate,12.6,5,42.1,Predator,solitary,UpperBenthic,scatterers,1,0,0
Stethojulis trilineata,tropical,15,20,23.4,Predator,solitary,UpperBenthic,scatterers,0,1,1
Suezichthys arquatus,subtropical,13.5,87,22.5,Predator,solitary,UpperBenthic,scatterers,1,1,0
Sufflamen bursa,tropical,25,87,51.3,Omnivore,solitary,UpperBenthic,Nesters,1,1,1
Sufflamen chrysopterum,tropical,30,29,51.3,Omnivore,solitary,UpperBenthic,Nesters,1,1,1
Sufflamen fraenatum,tropical,38,178,51.3,Omnivore,solitary,UpperBenthic,Nesters,1,1,0
Symphorichthys spilurus,tropical,60,55,30,Predator,solitary,ReefPelagic,scatterers,0,1,0
Synodus dermatogenys,tropical,24,90,42,Piscivore,solitary,Benthic,scatterers,1,0,1
Synodus variegatus,tropical,40,118,42,Predator,pairs,Benthic,scatterers,1,0,1
Taeniamia fucata,tropical,10,58,21.1,Predator,schools,Benthic,brooders,0,1,1
Taeniamia zosterophora,tropical,8,39,21.1,Predator,schools,CoralAssociated,brooders,0,1,0
Taeniura lymma,tropical,35,19,0,Predator,solitary,Demersal,Live bearers,0,1,0
Takifugu poecilonotus,temperate,20,21,38,Predator,groups,Benthic,scatterers,1,0,0
Thalassoma amblycephalum,tropical,16,14,71.5,Planktivore,groups,UpperBenthic,scatterers,1,1,1
Thalassoma cupido,temperate,20,3.5,NA,Predator,groups,UpperBenthic,scatterers,1,0,0
Thalassoma hardwicke,tropical,20,15,54.5,Predator,solitary,UpperBenthic,scatterers,1,1,1
Thalassoma jansenii,tropical,20,14,63.3,Predator,solitary,UpperBenthic,scatterers,1,1,0
Thalassoma lunare,tropical,45,19,50.12,Predator,schools,UpperBenthic,scatterers,1,1,1
Thalassoma lutescens,tropical,30,29,78,Predator,schools,UpperBenthic,scatterers,1,1,1
Thalassoma purpureum,tropical,46,10,57.7,Predator,solitary,UpperBenthic,scatterers,0,1,1
Thalassoma quinquevittatum,tropical,17,40,56.4,Predator,groups,UpperBenthic,scatterers,0,0,1
Thalassoma trilobatum,tropical,30,10,78.3,Predator,solitary,UpperBenthic,scatterers,1,0,1
Trachinops taeniatus,temperate,12,15,35,Predator,schools,UpperBenthic,Nesters,0,1,0
Trachinotus baillonii,tropical,60,7,57.6,Piscivore,groups,ReefPelagic,scatterers,0,1,1
Trachurus declivis,temperate,64,433,50,Predator,schools,Pelagic,scatterers,0,1,0
Trachurus novaezelandiae,subtropical,50,478,50,Predator,schools,Pelagic,scatterers,0,1,0
Triaenodon obesus,tropical,213,329,0,Apex,solitary,Benthic,Live bearers,0,1,1
Trimma tevegae,tropical,4.5,30,33.9,Predator,groups,Benthic,NA,0,0,1
Trygonoptera testacea,temperate,47,130,0,Predator,solitary,Demersal,Live bearers,0,1,0
Upeneichthys lineatus,subtropical,40,95,31.1,Predator,solitary,UpperBenthic,scatterers,0,1,0
Upeneus tragula,tropical,25,42,31.1,Predator,solitary,Benthic,scatterers,1,1,0
Valenciennea puellaris,tropical,20,28,39.5,Omnivore,solitary,Demersal,Nesters,0,1,1
Valenciennea sexguttata,tropical,14,22,39.5,Omnivore,pairs,Demersal,Nesters,0,0,1
Valenciennea strigata,tropical,18,24,39.5,Omnivore,solitary,Demersal,Nesters,0,1,0
Variola albimarginata,tropical,83,196,25.2,Predator,solitary,UpperBenthic,scatterers,0,0,1
Variola louti,tropical,83,297,25.2,Predator,solitary,UpperBenthic,scatterers,1,1,1
Variola sp.,tropical,83,297,25.2,Predator,solitary,UpperBenthic,scatterers,0,1,0
Vellitor centropomus,temperate,12,15,NA,Predator,solitary,Benthic,demersal,1,0,0
Zanclus cornutus,tropical,23,179,57.9,Omnivore,solitary,UpperBenthic,scatterers,1,1,1
Zebrasoma flavescens,tropical,20,44,54,Herbivore,solitary,UpperBenthic,scatterers,1,0,1
Zebrasoma flavxscopas,tropical,40,44,55.2,Predator,solitary,UpperBenthic,scatterers,1,0,1
Zebrasoma scopas,tropical,40,59,55.2,Predator,groups,UpperBenthic,scatterers,1,1,1
Zebrasoma velifer,tropical,40,44,35.75,Predator,pairs,UpperBenthic,scatterers,1,1,1
Zoarchias macrocephalus,subtropical,12.3,10,NA,Planktivore,solitary,Benthic,Nesters,1,0,0
Zoramia fragilis,tropical,5.5,14,21.1,Planktivore,schools,Benthic,brooders,0,1,1
Zoramia gilberti,tropical,5.5,8,21.1,Planktivore,schools,Benthic,brooders,0,0,1
